Card ID,Name,Card Type,Game,Cycle,Card Size,Found In,Tech Type,Tech Sub-Type,Cycle-locked?,Flavor (Project),Requirements,Leads To,Flavor (Tech),Abilities,Charges,Trireme,Secrets,FAQ,Errata
AA0022,Forced Kratos Reaction,Technology,Odyssey,Cycle I,Standard,,Combat,Argo Ability,FALSE,"If the antikratos equations are subduing the Titans, maybe we can find a way to reverse the process and stimulate a kratos reaction",Siren Armor,Hekaton Sighting,Is it pain or elation?,Choose a Titan. That Titan may gain +1 @Rage,2,FALSE,,,
AA0023,Teleresuscitation,Technology,Odyssey,Cycle I,Standard,,Combat,Argo Ability,FALSE,The philosophers of the Last Academy are sure they found a way to stimulate an almost preternatural survival instinct,Labyrinthauros Sighting,"Labyrinthauros Autopsy, Specialized Trireme Weapons",A Titan springs back to their feet as if Hades himself compelled them,Choose a knocked down Titan. That Titan stands up,2,FALSE,,,
AA0024,Fate Sink,Technology,Odyssey,Cycle I,Standard,,Combat,Argo Ability,FALSE,"By exerting force on the Triskelion Junction, we are able to ever so slightly alter the course of Fate itself",Trireme Reach Weapons,Hekaton Autopsy,Whose life have we inrrevocably changed?,Choose a Titan. That Titan may lose -1 @Fate,2,FALSE,,,
AA0025,Arrow Barrage,Technology,Odyssey,Cycle I,Standard,,Combat,Argo Ability,FALSE,"Reinforced spear and arrow tips, as well as synchronocity training, allows ship-stationed warriors to slightly weaken the AT field of a Primordial",Trireme Ranged Weapons,"Crisis Protocol, Basic Support Equipment",Ready volley!,Place 1 Break token or 2 Opening tokens in the Kratos Pool,3,FALSE,,,
AA0026,Crisis Protocol,Technology,Odyssey,Cycle I,Standard,,Combat,Argo Ability,FALSE,"The fallen priests have uncovered a surprising Gaia connection. Through the Triskelion Junction, we may be able to stimulate some form of spontaneous healing",Arrow Barrage,Labyrinthauros Sighting,A new philsophical protocol allow sus to tap into the lingering lifeforce of Gaia and re-direct it to or from a Titan,Choose a Titan. That Titan may gain or lose 2 @Danger,2,FALSE,,,
AA0027,Pursuer Protocol,Technology,Odyssey,Cycle I,Standard,,Combat,Argo Ability,FALSE,The academicians studied the Pursuer's reflex pattern and are certain they can duplicate it in the Triskelion Junction,Pursuer Sighting,"Labyrinthauros Autopsy, Hekaton Live Study",Analysis of the Hermesian Pursuer's reflexes and the 'shadow' it casts on the Triskelion Junction enables us to momentarily boost a Titan's reaction time,<Reaction> Choose a Titan. That Titan may move 1 space,2,FALSE,,,
BA1008,Trireme Ballista Fire,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,Mere arrows and javelins are not enough to pierce the thick armor of the Spartan Primordials. We need concentrated ballista fire,Temenos Armor,"Cyclonus Sighting, Temenos Advanced Gear, Reflex Priming",A well timed bolt can turn the tide of battle,Choose a Titan performing a Power Roll. That Titan gains {Power Re-roll 1},3,FALSE,,,
BA1009,Triskelion Power Boost,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,"There is some latent power in the Balaneion itself, power we can temporarily transfer through the junction",Temenos Weapons,"Temenos Advanced Gear, Chimera Metastasios Sighting, Forced Kratos Cooldown","Is this Us exerting our strength, or something else entirely?",Choose an attacking Titan. That Titan gains {Pushback 2},2,FALSE,,,
BA1010,Forced Kratos Cooldown,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,"We can flood the Junction with soothing thoughts, temporarily subduing even the most violent tendencies",Triskelion Power Boost,Cyclonus Sighting,Can you hear me now?,Choose a Titan that is about to gain involuntary @Rage to ignore that gain.; Choose a Titan. That Titan loses -1 @Rage,2,FALSE,,,
BA1011,Reflex Priming,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,"By slightly increasing the autonomous range of the Antikratos Protocols, we allow the Titan to take care of the lesser, more instinctive tasks, making the Junction more efficient",Trireme Ballista Fire,Chimera Metastasios Sighting,Extended use of Reflex Priming leads some Titans to develop motor tics,Unexhaust 2 @Gear cards among up to 2 Titans,2,FALSE,,,
