Card ID,Name,Render Type,Game,Cycle,Card Size,Found In,Subtitle,Clue Type,Story Card,Subdeck,Image Description,Card Text,Flavor,Secrets,FAQ,Errata
AC0053,Estuary Clue A,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,2A,,Picture of tile XXX,6*3*<<NL>>Random Argonaut gains 1 Despair token,"The directions were vague at best. This is the north coast, somewhere near Knossos",,,
AC0054,Estuary Clue B,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,2A,,Picture of tile XXX,4*3*<<NL>>Random Argonaut gains 1 Despair token,"The directions were vague at best. They said it was close to Knossos, on the south coast",,,
AC0055,Estuary Clue C,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,2A,,Picture of tile XXX,1*8*<<NL>>Random Argonaut gains 1 Despair token,"The directions were vague at best, but they mentioned it was quite far away, north-east of Knossos",,,
AC0056,Estuary Clue D,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,2A,,Picture of tile XXX,2*2*<<NL>>Random Argonaut gains 1 Despair token,The directions were vague at best. It's in the south-east of the island,,,
AC0057,River Course,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,Nothing Happens,The river is eerily quiet. Something isn't right,,,
AC0058,River Course,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,Nothing Happens,The river is eerily quiet. Something isn't right,,,
AC0059,River Course,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,Random Argonaut gains 1 Despair token,The river is eerily quiet. Something isn't right,,,
AC0060,Deadly Shallows,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,Lose -1 @Hull,Even with the upgraded tech Argo has trouble navigating this part of the river,,,
AC0061,Maze Canal,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,%ArgoFate 7+% Random Argonaut who is not Mazetouched gains the Mazetouched Affliction,"The river becomes a twisting, symmetrical canal",,,
AC0062,Old Maze Canal,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,%ArgoFate 6+% Random Argonaut gains 1 Despair token,"The river becomes a twisting, symmetrical canal",,,
AC0063,Populated Maze Canal,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,Gain +1 @Strangers,"The river becomes a twisting, symmetrical canal. Maze-marked people subsist on both banks",,,
AC0064,Reshaped Canal,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,Gain +1 @Doom,"The river becomes a twisting, symmetrical canal",,,
AC0065,Reshaped Lake,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,Gain +1 @Strangers,A lake was made part of the maze canal system. Even the water starts to look... angular,,,
AC0066,Symmachy Flagship,Clue,Odyssey,Cycle I,Mini American,,Pursuit,Story,2B,,,You found the Flagship! See 0058,The Symmachy Flagship glistens with light of a hundred torches,,,
AC0067,Pristine Minotaur Statue,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,3A,,,No coordinates here! Random Argonaut gains 1 Despair token,There must be a royalist village nearby,,,
AC0068,Transformed Temple,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,3A,,,"The Map Tile you are currently on designates the latitude coordinate of the Acropolis Sepulcher. Note this Tile's number in the Map section of the Argo Sheet. *Discarding*: If you are told to discard this card by the Story 3A effect, discard another card from the [Temple Deck]. Then return this card to the deck","Someone reshaped the old statue into something otherworldly and sinister. There's a secret chamber here and in it, a partial map to the Sepulcher Acropolis",,,
AC0069,Daedalus Safehouse,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,3A,,,"The Map Tile you are currently on designates the latitude coordinate of the Acropolis Sepulcher. Note this Tile's number in the Map section of the Argo Sheet. *Discarding*: If you are told to discard this card by the Story 3A effect, discard another card from the [Temple Deck]. Then return this card to the deck","There's a secret chamber here and in it, a partial map to your destination. What business did Daedalus have with the Sepulcher Acropolis",,,
AC0070,Ruined Minotaur Statue,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,3A,,,No coordinates here! Gain +1 @Strangers,The Hornsworn made short work of this statue,,,
AC0071,Forgotten Minotaur Statue,Clue,Odyssey,Cycle I,Mini American,,Clue,Story,3A,,,No coordinates here! Gain +1 @ArgoKnowledge,"This old status shows a young Minotaur. The artist rendered him as a beautiful, somewhat effeminate creature",,,
AC0072,Minoan Guide,Clue,Odyssey,Cycle I,Mini American,,Ally,Ally,,,,"Write 'Acacallis' in the _Boons, Afflictions, and Notes_ section of the Argo Sheet. Various effects may instruct you to make tally marks next to her name. If there are 10 or moretally marks besides Acacallis, see 0043. You may dismiss the Princess at the end of any Voyage Phase. If you do, see 0011","Aloof and demanding, the Princess mostly keeps to her quarters",,,
AC0073,Old Spinner,Clue,Odyssey,Cycle I,Mini American,,Ally,Ally,,,,"You may dismiss the Old Spinner during the Story Step. If you do, discard this card","The wizened woman keeps to herself. When she thinks nobody is looking, she fiddles with her fingers, as if she was rolling a ball of yarn",,,
AC0074,Xenodice Map,Clue,Odyssey,Cycle I,Mini American,,Clue,Xenodice Map,3A,,"A map depicting the locations of the 5 _____, located on tiles ...",,"Was it Daedalus's madness, or Xenodice's?",,,
BC1172,Cyclopean Gate Ignition Key,Clue,Odyssey,Cycle II,Mini American,,Ignition Key,Story,1B,,Picture of tile XXX,"1*8*<<NL>>When you have this card, add +1 to all tests during the Adventure Phase on @Cyclopes tiles",This sluice gate was built on the ruins of an old cataract outpost,,,
BC1173,Eastern Gate Ignition Key,Clue,Odyssey,Cycle II,Mini American,,Ignition Key,Story,1B,,Picture of tile XXX,"2*6*<<NL>>When you have this card, add +1 to all tests during the Adventure Phase on @Symmachy tiles",This sluice gate has sustained damage from repeated Symmachy attacks,,,
BC1174,Leonidas Stoa Ignition Key,Clue,Odyssey,Cycle II,Mini American,,Ignition Key,Story,1B,,Picture of tile XXX,"6*3*<<NL>>When you have this card, add +1 to all [Hope Logic|AA0038] save tests","Here lies buried Leonidas, one who could not kill the Nietzschean",,,
BC1175,Black Gate Ignition Key,Clue,Odyssey,Cycle II,Mini American,,Ignition Key,Story,1B,,Picture of tile XXX,"4*3*<<NL>>When you have this card, add +1 to all tests during the Adventure Phase on @Helot tiles","Blackened by regular ambrosia spillages, this gate is mostly used by traders and laborers",,,
BC1176,First Cataract Fortification Line,Clue,Odyssey,Cycle II,Mini American,,Map,Story,1A,,Array of tiles XXX-XXX,,The First Cataract. This is as far as your advanced scouts got,,,
BC1177,Second Cataract Fortification Line,Clue,Odyssey,Cycle II,Mini American,Secret Deck 05,,Map,,,Outlines of map tiles XXX-XXX,,You can only guess what dreadful landscape awaits you beyond the Second Cataract,,,
BC1178,Fortresses Of Central Lakonia,Clue,Odyssey,Cycle II,Mini American,,Map,Story,2A,,Array of tiles XXX-XXX,,Each one an Ares-class behemoth,,,
BC1179,Outer Keep,Clue,Odyssey,Cycle II,Mini American,,Fortress,Story,2A,,Picture of tile XXX,,This keep stands watch over the precarious plains of the Contested Lands,,,
BC1180,Kyklopes Keep,Clue,Odyssey,Cycle II,Mini American,,Fortress,Story,2A,,Picture of tile XXX,,"Under this fortress, old Cyclopes' bones stir",,,
BC1181,Central First Perimeter Fortress,Clue,Odyssey,Cycle II,Mini American,,Fortress,Story,2A,,Picture of tile XXX,,The centerpiece of the First Cataract defense line,,,
BC1182,Eastern First Perimeter Fortress,Clue,Odyssey,Cycle II,Mini American,,Fortress,Story,2A,,Picture of tile XXX,,This citadel serves as a prison for Symmachy war criminals,,,
BC1183,Central Second Perimeter Fortress,Clue,Odyssey,Cycle II,Mini American,,Fortress,Story,2A,,Picture of tile XXX,,The centerpiece of the Second Cataract defense line,,,
BC1184,Lakonias,Clue,Odyssey,Cycle II,Mini American,,Fortress,Story,2A,,Picture of tile XXX,,This fortress was once a beautiful place of contemplation,,,
BC1185,Fireships,Clue,Odyssey,Cycle II,Mini American,,Argophylae,Story,3A,,,Lose -1 @Hull. Place an additional Blockade token on a space opposite the currently used Blockade token (ignore this effect if that's the only viable route). Discard it at the end of the next Movement Step,You've seen this once before. A flaming fleet to boil the sea - and the Argo with it,,,
BC1186,Boarding Bridges,Clue,Odyssey,Cycle II,Mini American,,Argophylae,Story,3A,,,Lose -1 @Crew. Place an additional Blockade token on a space opposite the currently used Blockade token (ignore this effect if that's the only viable route). Discard it at the end of the next Movement Step,Rotating cranes and Ambrosia Elephants powered by ungodly hydraulics are extended over the canal to allow boarding from above,,,
BC1187,Machinations,Clue,Odyssey,Cycle II,Mini American,,Argophylae,Story,3A,,,Gain +2 @Doom. Place an additional Blockade token on a space opposite the currently used Blockade token (ignore this effect if that's the only viable route). Discard it at the end of the next Movement Step,"While Argo fights for its life, the Nietzschean advances his master plan",,,
BC1188,Cyclopean Snares,Clue,Odyssey,Cycle II,Mini American,,Argophylae,Story,3A,,,Lose -2 Titans,"Giant-sized mechanical traps from a previous aeon, primed again for Titan hunting",,,
BC1189,Ballista Fire,Clue,Odyssey,Cycle II,Mini American,,Argophylae,Story,3A,,,Lose -1 @Hull or -1 @Crew,"Day and night, the fire does not cease",,,
BC1190,Javelin Gauntlet,Clue,Odyssey,Cycle II,Mini American,,Argophylae,Story,3A,,,"Randomly choose one of your Argo Ability technologies. It is disabled and cannot be used! Write its name as an event on the Timeline, 10 days from now. When you resolve this event, it is repaired and ready to use","Through a city canal, where the javelins darken the skies",,,
