Name,Effects
A Fist for a Fist,"Each time the Hekaton gains a Wound (a Double Wound is treated as 2 Wounds) place a token on this Trait. If there are 3 or more tokens on this Trait, finish resolving the current action, discard all tokens, then perform Signature"
A Wall of Fists,Titans cannot voluntarily move into spaces adjacent to the Hekaton
Aggressive Expansion,<Start of Primordial Round> @WoO {Airburst 3}
Antisherpa,Titans in columns 1-7 are dealt +2 @Danger per hit. Titans in columns 8-15 are dealt +1 @Danger per hit
Ariadne's Logic,"When attacked from a Labyrinth tiles, Temenos has -1 @AT"
Bane of Odysseus,"If you don't pass the [Trojan Ire|DZ2589] card, die. Then, random Titan gains the _Trojan Ire_"
Beginning of the End,"<End of Primordial Round> Before {End of Hope}, draw and perform another AI card"
Black Rain,"<Start of Titan turn> If you are in front of the Chimera, unless you have an Umbrella @Gear card, gain 1 Ambrosia token"
Black Soup,"If you fail to find the Primordial during the Titan Round, every Titan dies"
Black Sun,"If you are hit by _Merciless Sun_, you are incinerated"
Blacker Than The Night,"When the Primordial performs {Vanish X}, it doesn't ignore the Board Edges directly across from the Target or attacking Titan"
Bleed Your Heart Out,Each Bleeding token gives you -1 @Speed. {Bleeding Limit -1}
Blinding Shine,The Old Haunt cannot be Wounded from the front
Bloodlost,"<Start of Battle> Starting from the highest @Danger and continuing in descending order, Titans suffer: {Bleeding 4}, Bleeding 3, Bleeding 2, and Bleeding 2. This Trait overrides the Start of Battle effect of the [Predator|CX1681] Trait"
Bow or Die,"If you don't start the Primordial Round knocked down, you are incinerated"
Bred for War,"*Additional Setp:* Place a Combo token on the Maul space of the Combo track. After resolving a Combo or Combo Break, move the token clockwise to the next space.<<NL>>*Combo:* After resolving the first AI card in a Round, perform @WoO *Combo:* Draw and resolve another AI card.<<NL>><Reaction> *Combo Break:* A Titan who is *not the* @PriorityTarget Priority Target, and has @Gear with a Weapon class indicated by the Combo track, may exhaust this Weapon to break the Combo. The Titan must be within this Weapon's effective range. It gains the @PriortyTarget token.<<NL>>*Note:* @Rage gain doesn't trigger @PriorityTarget change"
Built for Eternity,The Endless Staircase has 18 spaces
Built to Be Broken,"Each time you fail to wound, lock the highest unlocked Endless Staircase tier. All Titans on that Staircase tier die"
By Any Other Name,The Blackbeak is a Hermesian Pursuer with modified attributes and Traits as denoted on this card and an additional Flare card. The [Toying|EX3219] and {Tease} Traits are disabled. Permanently remove the [Black-blood Cryptex|AS0581] BP card from its BP deck
Cackle,"When a Titan becomes adjacent to the Hermesian Pursuer, they gain the [Fear|AL0299] Condition card"
Candle in the Dark,"If your Light X is lower than the Primordial level divided by 2 (rounding up), Skitter loses @WoO"
Cannot Hide from the Sun,Titan with the @PriorityTarget Priority Target token cannot be shaded in any way
Cities of Gold,"When a Terrain tile is displaced as a result of the Midascore's movement, place a generic token on that tile. If a Titan starts or ends their turn on a Terrain tile, they gain 1 Midas token for each generic token on that tile"
Clever Boy,"Board Edges gain Boundless: they are now high cliffs. If a Titan is moved beyond the edge, they die"
Contaminated Cuts,<End of Titan turn> Gain @Danger equal to the number of Ambrosia tokens you have
Crimson Tide,<Start of Primordial Round> Perform Routine
Critical Mass,"Each time the Chimera gains a Wound on the *Secondary Wound Stack* or you *OoR evade*, place a generic token on this Trait. If there are 3 or more tokens on this Trait, finish resolving the current action, discard all tokens, then draw and resolve the top AI card"
Curse Carapace,The Demidjinn gains +1 @AT for every [Wishkeen|DL2011] and [Wishagog|DL2011] Condition card in play (but not on dead Titans)
Danger Sense,"The D letters on the Primordial Diagram mark the Danger Zone spaces. If a Titan moves through or into the Danger Zone during the Titan Round, roll a d10. On a 7+, they manage to get through. Otherwise, tehy immediately stop and the Nietzschean performs Signature against that Titan. Ignore this Trait during a Nietzschean Attack"
Darkness Comes With Me,"After the Pursuer moves, but before it Attack, every Titan in any of the 2 rows of spaces behind the Pursuer sufferes Unavoidable Knockback 7 (regardless of adjacency)"
Dealbreaker Stance,"Use this Combo Track instead of the regular one. Sword: Knife, Shield. Fire: Spear, Sword, Cestus. Ambrosia: Club, Axe. Hatred: Whip, Bow, Slabsword"
Debts of Succession,"Double all Midas token gains. When a Titan dies, after placing half of their Midas tokens on [Incremental Painment|DX3222], distribute the rest of the tokens evenly among all other Titans"
Deep Cut,<End of Titan Turn> Gain @Danger equal to the number of Bleeding tokens you have
Deeper Depths,Each Titan starts the Battle with 1 Oxygen token less
Devour Whole,<Start of Primordial Round> {Consume} all Titans adjacent to the Icarian Harpy
Digestive Acids,<End of Primordial Round> Each Titan gains as many @Danger as they have Ambrosia tokens
Dissipate,"Move the Dahaka to the closest [Ambrosia Cloud|DI2031] Terrain tile other than the one it is currently on, so that its base is fully placed on the Terrain tile, then turn it to face the most Titans"
Djinnian Determination,"When the Demidjinn is about to perform Wish Away, turn it toward the closest Board Edge"
Djinnian Precision,"Each Wish Away must be performed to the Irem Tower that is exactly X spaces from the Demidjinn, where X is the Wish Away value"
Doom of the Centimanes,"If you're not adjacent to another Titan, you cannot use @Fate to re-roll your Attack Rolls, Evasion Rolls, and Judgement tests. If you're not adjacent to another Titan and you fully miss an Attack, you die"
Dragon of the Lightless Void,"You can only use X amount of Opening or Closing tokens from the Kratos Pool. You can only use X amount of Break, Fire, Black, and Hope tokens from the Kratos Pool combined. X is equal to your Light X keyword"
Dreadnought,"During the Titan Round, Cyclonus can only be Wounded from its Blindspot. Combos can be broken only from the Blindspot"
Drift,"When the Dahaka performs Drift, it moves through the Target stopping directly across the Target, then turns to face them. If the Dahaka cannot Drift across the Target, it stops adjacent to the Target and the Target dies. If the Dahaka moves through a Titan during Drift, that Titan gains a negative Precision token. Drift does not cause Crash"
Drifter of Wastes,"The Dahaka ignores Line of Sight. The Dahaka has the following unique movement abilities: {Drift}, {Dissipate}"
End of Hope,End of Primordial Round: Perform Signature
Endless Escalator,"When there is at least one Titan in the Endless Staircase, at the start of the Primordial Round, move the lowest segment of the Endless Staircase to the top. Titans on the lowest segment die"
