Card ID,Name,Card Type,Game,Cycle,Card Size,Found In,Tech Type,Tech Sub-Type,Cycle-locked?,Flavor (Project),Requirements,Leads To,Flavor (Tech),Facility Name,Recipes,FAQ,Errata
AA0003,Trireme Armor,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Excursion Propylon,Trireme Ranged Weapons,,Trireme Armorsmith,"GearIcon1=Sail Spolas|GearIcon2=Shipwrecker Shield|ingredients1=3x Armament,5x Raw Ambrosia|ingredients2=2x Armament,3x Raw Ambrosia,1x Muscle Cluster",,
AA0004,Siren Armor,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Trireme Ranged Weapons,"Advanced Trireme Weapons, Forced Kratos Reaction",,Siren Armor Sculptor,"GearIcon1=Siren Shield|GearIcon2=Siren Panoply Armor|GearIcon3=Ancient Siren Panoply Armor|ingredients1=5x Trireme,1x Calcified Knuckle Bone|ingredients2=2x Monument,2x Armament,3x Raw Ambrosia|ingredients3=5x Monument,5x Raw Ambrosia,1x Ancient Shell",,
AA0005,Smelted GearIcon,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Specialized Trireme Weapons and either: Advanced Support Equipment OR Hekaton Autopsy,"Labyrinthauros Live Study, Hekaton Live Study",,Bronze Smelter,"GearIcon1=Smelted Breastplate|GearIcon2=Smelted Aspis|GearIcon3=Smelted Xiphos|ingredients1=9x Monument,12x Armament,5x Muscle Cluster,3x Fleshy Mantle|ingredients2=17x Trireme,19x Raw Ambrosia|ingredients3=4x Trireme,11x Monument,18x Raw Ambrosia",,
AA0006,Basic Support Equipment,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Arrow Barrage,"Pursuer Sighting, Specialized Trireme Weapons, Labyrinthauros Sighting",,Small Artificery,"GearIcon1=Iapetus Lifeguard|GearIcon2=Ares Aulos|GearIcon3=Makesheath|ingredients1=7x Trireme,4x Raw Ambrosia|ingredients2=2x Armament,2x Infused Mechanism|ingredients3=6x Monument,1x Muscle Cluster|GearIcon4=Spring Harness|ingredients4=4x Armament,1x Infused Mechanism",,
AA0007,Advanced Support Equipment,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Labyrinthauros Autopsy,"Labyrinthauros Live Study, Smelted GearIcon",,Large Artificery,"GearIcon1=Morpheus Module|ingredients1=14x Monument,4x Muscle Cluster,7x Infused Mechanism|GearIcon2=Sail Camo|GearIcon3=Tackle Sheath|ingredients2=21x Trireme,27x Raw Ambrosia|ingredients3=19x Trireme,21x Raw Ambrosia",,
AA0008,Trireme Weapons,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Excursion Propylon,Trireme Ranged Weapons,,Trireme Weaponsmith,"GearIcon1=Boatmace|GearIcon2=Kratos Kopis|GearIcon3=Sirenblade|ingredients1=3x Monument,1x Calcified Knuckle Bone|ingredients2=2x Trireme,3x Raw Ambrosia,1x Infused Mechanism|ingredients3=4x Monument,1x Fleshy Mantle|GearIcon4=Sirenteeth|ingredients4=5x Trireme,2x Muscle Cluster",,
AA0009,Advanced Trireme Weapons,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Siren Armor,"Pursuer Sighting, Specialized Trireme Weapons, Hekaton Sighting",,Trireme Bone Carver,"GearIcon1=Teeth Khopesh|ingredients1=2x Monument,2x Muscle Cluster,1x Infused Mechanism|GearIcon3=Whale Knives|GearIcon2=Great Tree Club|ingredients2=3x Trireme,2x Fleshy Mantle|ingredients3=3x Monument,2x Calcified Knuckle Bone",,
AA0010,Specialized Trireme Weapons,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Basic Support Equipment, Advanced Trireme Weapons and either: Teleresuscitation OR Trireme Reach Weapons","Smelted GearIcon, Hekaton Autopsy",,Trireme Weapon Workshop,"GearIcon1=Naval Ram|GearIcon2=Jawbone Axe|GearIcon3=Heavy Kopis|ingredients1=11x Trireme,5x Infused Mechanism|ingredients2=6x Armament,5x Muscle Cluster|ingredients3=3x Armament,4x Fleshy Mantle",,
AA0011,Trireme Ranged Weapons,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Trireme Weapons, Trireme Armor","Arrow Barrage, Siren Armor",,Trireme Bowyer,"GearIcon1=Ballista Gun|GearIcon2=Petrified Javelin|ingredients1=5x Trireme,1x Fleshy Mantle|ingredients2=3x Trireme,5x Raw Ambrosia",,
AA0012,Trireme Reach Weapons,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Hekaton Sighting,"Fate Sink, Specialized Trireme Weapons, Labyrinthauros Live Study",,Trireme Spearatorium,"GearIcon1=Longmast Spear|GearIcon2=Whalebone Bident|GearIcon3=Liontail Whip|ingredients1=8x Trireme,10x Raw Ambrosia,1x Calcified Knuckle Bone|ingredients2=12x Trireme,3x Calcified Knuckle Bone|ingredients3=6x Monument,7x Raw Ambrosia|GearIcon4=MWE-4 ""Keelbow""|ingredients4=6x Monument,7x Raw Ambrosia|GearIcon5=MWE-6D ""Sharkscourge""|ingredients5=12x Trireme,3x Calcified Knuckle Bone|GearIcon6=MWE-33B ""Chainblade""|ingredients6=8x Trireme,10x Raw Ambrosia,1x Calcified Knuckle Bone",,
AA0013,Hekaton Sighting,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Hekaton LVL 2 Battle, Advanced Trireme Weapons, Forved Kratos Reaction",Trireme Reach Weapons,,Hekanasium,"GearIcon1=Impetus Breakers|ingredients1=9x Monument,7x Raw Ambrosia|GearIcon2=Primordial Lure|ingredients2=7x Monument,4x Calcified Knuckle Bone,1x Fear Essence|GearIcon3=Analyticos Module|ingredients3=5x Armament,3x Muscle Cluster|GearIcon4=Safety Rope|ingredients4=10x Trireme,7x Raw Ambrosia",,
AA0014,Hekaton Autopsy,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Hekaton LVL 3 Battle, Specialized Trireme Weapons, Fate Sink","Smelted GearIcon, Hekaton Live Study",,Hekarmory,"GearIcon1=Earthshaker|ingredients1=1x Dreamwalker Titan,1x Hekaton Core|GearIcon2=Knuckle Shield|ingredients2=8x Trireme,17x Monument,7x Calcified Knuckle Bone|GearIcon3=Hekaton Panoply Armor|ingredients3=7x Armament,9x Muscle Cluster,5x Calcified Knuckle Bone",,
AA0015,Hekaton Live Study,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Hekaton LVL 4 Battle, Pursuer Protocol, Hekaton Autopsy, Smelted GearIcon",Temenos Sighting,,Centimanes Workshop,"GearIcon1=Pillarmace|GearIcon2=Hekatomb|GearIcon3=Rebound Hammer|ingredients1=11x Monument,24x Raw Ambrosia,11x Muscle Cluster|ingredients2=28x Armament,38x Raw Ambrosia|ingredients3=26x Trireme,28x Monument,12x Calcified Knuckle Bone|GearIcon4=Gigan|ingredients4=10x Monument,29x Raw Ambrosia,33x Muscle Cluster,1x Hekaton Core,1x [[Shieldblade]]",,
AA0016,Labyrinthauros Sighting,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Labyrinthauros LVL 2 Battle, Crisis Protocol, Basic Support Equipment",Teleresuscitation,,Ropery,"GearIcon1=Grappling Hook|GearIcon2=Aeolipile Engine|GearIcon3=Stabilizers|ingredients1=7x Monument,3x Infused Mechanism|ingredients2=5x Monument,11x Raw Ambrosia|ingredients3=6x Armament,2x Fleshy Mantle|GearIcon4=MWE-109A ""Hermes Winch""|ingredients4=7x Monument,3x Infused Mechanism",,
AA0017,Labyrinthauros Autopsy,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Labyrinthauros LVL 3 Battle, Pursuer Protocol, Teleresuscitation",Advanced Support Equipment,,Minoforge,"GearIcon1=Mazerunner|GearIcon2=Instinct Linothorax|GearIcon3=Bull Aspis|ingredients1=1x Dreamwalker Titan,1x Labyrinthauros Core|ingredients2=10x Armament,9x Fleshy Mantle|ingredients3=5x Armament,11x Infused Mechanism",,
AA0018,Labyrinthauros Live Study,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Labyrinthauros LVL 4 Battle, Advanced Support Equipment, Trireme Reach Weapons, Smelted GearIcon",Temenos Sighting,,Mazeworks,"GearIcon1=Maze Rake|GearIcon2=Whaler Javelin|GearIcon3=Hull Bow|ingredients1=20x Monument,12x Armament,30x Raw Ambrosia,1x Fear Essence|ingredients2=15x Trireme,4x Armament,27x Raw Ambrosia,14x Infused Mechanism|ingredients3=38x Trireme,13x Fleshy Mantle|GearIcon4=Ariadne's Hello|ingredients4=19x Trireme,19x Infused Mechanism,1x Labyrinthauros Core,1x Glimmer Shroud",,
