Card ID,Name,Alternate Name,Render Type,Game,Cycle,Card Size,Found In,Tech Type,Tech Sub-Type,Flavor (Project),Requirements,Leads To,Cycle-locked?,Flavor (Tech),Central Icon,Abilities,FAQ,Errata
AA0001,Last Tome,Last Academy,Technology,Odyssey,Cycle I,Tarot,,Structural,Core,"A fount of ancient knowledge, almost dried up now. Contains enough information to allow us to mount a response to the Primordials. It'll serve us well as the cornerstone of our research",—,Rhetoric,FALSE,"Here the philosophers and academicians conduct their research, poring over dusty tomes and phos scripture",,"Research: Reference. When you reach a Combat @CombatTech or Structural @StructuralTech node on the Timeline, research one of the available Technology cards from the corresponding Projects Deck.; Gather Information: Reference. During the Exploration Step, if the Argo is on an unexplored Map Tile with @Progress symbol, gain +1 @Progress. For each @Progress you gain, place 1 @Progress token on your current Story card or the Inward Odyssey card",,
AA0002,Primordial Dawn,Bridge Tholos,Technology,Odyssey,Cycle I,Tarot,,Structural,Core,"Not much is known about the Eschaton, except that it brought the Fall of Olympus and the Coming of the Primordials",—,—,FALSE,From here the Argonauts shape their fate and steer the mighty Argo towards its unknown destination,,"Sail and Explore: Reference. At the start of each day you move to an adjacent tile using one of the available waterways. If needed, place the tile, then move the Argo and proceed to the Timeline Step.; Adventure: Reference. During the Adventure Step, if the Argo is on an unexplored Map tile with the @AdventureHub symbol, go to the Adventure Hubs table in your current Cycle's Storybook.; Gather Resources: Reference. During the Exploration Step after resolving Exploration symbols, draw and resolve two stacks of Exploration cards",,
AA0021,Antikratos Project,Excursion Propylon,Technology,Odyssey,Cycle I,Tarot,,Structural,Core,There is a lot we do not know about the Triskelion Junction used in the process of supressing the atavistic nature of the Titans. We need to know more,—,"Trireme Weapons, Trireme Armor",FALSE,Here the Argonauts ready for their next excursion and it is also here that a Support Team stands ready to lend their help,,Argo Support I: Permanent. Argo Ability Limit: 2,,
AA0028,Argo Works,Grand Agora,Technology,Odyssey,Cycle I,Tarot,,Structural,Core,"The Argo is a marvel of engineering, but there's no denying the fact that most of its systems are inactive or unknown to us. We need to start by setting up a production hub",—,Trading Solutions,FALSE,"To stand a chance against the Primordials, the smiths and priests of the Argo work tirelessly on new types of @Gear and new engineering solutions",,"Craft Gear: Reference. During the Advancement Step, you can use available resources to craft @Gear cards using Production Technologies",,
AA0029,Titanogenesis,Titan Stoa,Technology,Odyssey,Cycle I,Tarot,,Structural,Core,"They are a mystery to us. Mindless and extremely violent in the wild, they would be Mortalkind greatest enemy, had it not been for the Eschaton. Now they're our best hope for the future",—,Titan Hunting,FALSE,Here the Titans are tamed and stored when not in use. Some call this place a warehouse. some call it a prison,,"Gain Titan: Reference. During the Exploration Step, if the Argo is on an unexplored Map Tile with the @Titan symbol, gain +1 Titan. Titan Stoa Capacity: Titan Limit: 10",,
AA0030,Trading Solutions,Trade Fleet Dock,Technology,Odyssey,Cycle I,Tarot,,Structural,,"If we are to survive, we need to strengthen our connection to the people of Crete",Argo Works,"Diplomatic Relations, Advanced Trading Solutions, Crew Expansion, Shallows Navigation",FALSE,A small ship dock will allow us to take in traders and establish connections around the island,,Theban Trader: Immediate. Add the Theban Trader Exploration card to the Exploration deck.; Port Trading: City Negotiation. Gain +1 @ArgoFate to exchange (up to 3 times):<<NL>>3 Trireme >> 1 Armament<<NL>> 2 Trireme >> 1 Monument<<NL>>1 Monument >> 2 Trireme<<NL>>1 Armament >> 3 Trireme<<NL>>1 Muscle Cluster or Infused Mechanism >> 3 Raw Ambrosia<<NL>>1 Calcified Knuckle Bone or Fleshy Mantle >> 4 Raw Ambrosia<<NL>>3 Raw Ambrosia >> 1 Muscle Cluster or Infused Mechanism<<NL>>4 Raw Ambrosia >> 1 Calcified Knuckle Bone or Fleshy Mantle,,
AA0031,Intelligence Gathering,,Technology,Odyssey,Cycle I,Standard,,Structural,,"If we are to master our fate, we need to know what lies ahead. This is the first step in establishing a permanent informant network","30+ explored Map tiles, Diplomatic Relations",Deeply Embedded Spies,TRUE,Your informants will periodically bring you news - good or otherwise,,Informant Network: Immediate. Add the [Informant Network|AB0110] Exploration card to the Exploration deck,,
AA0032,Shallows Navigation,,Technology,Odyssey,Cycle I,Standard,,Structural,,The phos scriptures tell of a dormany subsystem of the Argo's engines that allows shallow water navigation,Trading Solutions,"Argo Onboarding, Pursuer Problem, Excursion Propylon II",TRUE,The Argo rises above the waterline and almost glides on the river surface,River,Shallows Navigation: Permanent. You can move through @Lock waterways with the River @River symbol,,
AA0033,Rhetoric,,Technology,Odyssey,Cycle I,Standard,,Structural,,The Labyrinthians talk about nothingness with devout passion. We need a message of our own,Last Academy,"Anti-Indoctrination Philosophy, Minoan Investigations, Titan Hunting",TRUE,"Let all who doubt their purpose despair not, for this ship is in itself a message: we are here for a reason",,Persuasion: Save. Gain +1 @ArgoFate when you are about to gain @Strangers to test Diplomacy (7+). *Success*: Lower this @Strangers gain by 1 (to a minimum of 0).; Diatribe: City Negotiation. Gain +1 @ArgoFate to lose -1 @Strangers,,
AA0034,Diplomatic Relations,,Technology,Odyssey,Cycle I,Standard,,Structural,,We've walked blindly into this crisis. Now's the time to learn about the island and acclimate,Trading Solutions,"Intelligence Gathering, Peace",TRUE,Our envoys establish our presence on the island,,Diplomatic Corps: City Negotiation. Lose 4 Mortal resources of your choosing and gain +1 @ArgoFate to gain +1 Diplomacy with the Local Faction,,
