Card ID,Name,Reverse Side,Game,Render Type,Cycle,Card Size,Tiles,Keywords,Abilities,Trap,Treasure,Flipped Keywords,Flipped Abilities,FAQ,Errata
AI0361,Column,,Odyssey,Terrain,Cycle I,Standard,16 1x1,Obstacle. Obscuring. Destructible. Trap,,"If the Primordial ends their involuntary movement on this tile, roll a d10:<<NL>>1-2: Nothing happens.<<NL>>3-8: Place 1 negative @AT token in the Kratos Pool<<NL>>9-10: Place 2 negative @AT tokens in the Kratos Pool",,,,,
AI0362,City,Ruined City,Odyssey,Terrain,Cycle I,Standard,2 3x3,Obscuring. Inhabited. Reinforced Destructible. Cover,%Allied% Titans on this tile have +1 @Power. %At War% Treat this tile as an {Obstacle},,,Inhabited. Destructible. Cover,%Allied% Titans on this tile have +1 @Power. %At War% Treat this tile as an {Obstacle},,
AI0364,Labyrinth,Maze Fissure,Odyssey,Terrain,Cycle I,Standard,"4 1x4, 4 Z, 4 L, 4 2x2",Indestructible. Labyrinth,,,,,,,
AI0364,Maze Fissure,Labyrinth,Odyssey,Terrain,Cycle I,Standard,"3 1x4, 2 Z, 3 L, 1 2x2",Chasm,,,,,,,
AI0366,Giant Shell,,Odyssey,Terrain,Cycle I,Standard,1 3x3,Obstacle. Obscuring. Indestructible. Treasure,,,"1: It's still occupied! A siren attacks you, gain +3 @Danger.<<NL>>2-5: A pirate stash. Gain 2 Trireme resources.<<NL>>6-8: Perfect shape. Gain a [Siren Shield|AJ0167] @Gear card.<<NL>>9-10:Ancient shell. Gain 1 Ancient Shell Rare resource",,,,
AI0367,Minos Manos Unit,,Odyssey,Terrain,Cycle I,Standard,1 2x2,Destructible. Trap. Treasure,,"If the Primordial ends their involuntary movement on this tile, place 1 negative @AT token in the Kratos Pool","1-3: You try to use the massive machina, but cut yourself on the impossibly sharp circular blade. Gain +2 @Danger and resolve a Trauma Draw.<<NL>>4-7: You tinker with the machina and accidentally turn it on. The hollow boom of its engines draws the Primordial. The Primordial performs Signature against you.<<NL>>8-9: You use the contraption to hone your edge. If you're using a Melee or Reach Weapon, you gain +1 @Power until the end of Battle.<<NL>>10: You break away a functional piece of the Unit and... repurpose it. Gain the [Manos Discus|AJ0280] @Gear card (Secret Deck 2, card 19)!",,,,
AI0368,Maze Outcrop,,Odyssey,Terrain,Cycle I,Standard,1 2x2,Obstacle. Obscuring. Indestructible. Treasure,,,"1: Sensing your presence, the Maze Outcrop burrows deep. Discard this tile. Escalate 1.<<NL>>2-3: You feel an almost existential fear. Gain 1 Despair token.<<NL>>4-7: As if reacting to your presence, the Outcrop expands like a flower! Immediately place 4 [Labyrinth|AI0364] Terrain tiles around the Outcrop. Suffer Knockdown.<<NL>>8-9: Gain 1 Maze Fragment resource.<<NL>>10: You rip open a part of the outer maze formation. Maybe you can use it as a shield? Gain the [Temenos Scale Shield|BJ0829] (Cycle II) @Gear card",,,,
AI0369,Abandoned Temple,,Odyssey,Terrain,Cycle I,Standard,1 2x2,Obstacle. Obscuring. Destructible. Treasure,,,"1: The realization comes too late - this temple has been claimed by the Labyrinthians! You scramble to the exit, but are tainted nonetheless. Gain the Mazetouched Affliction,<<NL>>2-5: Nature reclaimed the temple and now only birds call it home. You inadvertantly scare them, drawing the Primordial to your position. The Primordial performs Signature against you.<<NL>>6-9: The priest who made this temple his home sees your arrival as a sign and joins you. Gain +1 Priest.<<NL>>10: You cannot believe your eyes. This does not belong in a Dead God's temple... Gain 1 Sisyphus Tear (once per Cycle). If you have already gained a Sisyphus Tear from this Terrain tile, lose -2 @ArgoFate",,,,
AI0370,Argo Hull,,Odyssey,Terrain,Cycle I,Standard,"1 1x4, 2 1x5",Obstacle. Indestructible,"Hull Damage: If the Primordial moves on to this tile or a Titan would be involuntarily moved onto it, roll a d10. On a 6+, the plating holds, otherwise, lose -1 @Hull and disable the Argo Support effect (only once per Battle)",,,,,,
AI0371,Ambrosia Pool,,Odyssey,Terrain,Cycle I,Standard,6 2x2,Ambrosia,,,,,,,
