Card ID,Name,Game,Card Type,Cycle,Used For,Card Size,Found In,Flavor,Sub-Type,Effects,Condition?,Minor Direction,Major Number,Sign,FAQ,Errata
AM0307,Kratos Whisper,Odyssey,Trauma,Cycle I,,Mini American,,The Moirai are watching,Minor,Gain +1 @Rage,,Down,,+,,
AM0308,Insulted,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,"You may immediately move up to 4 spaces and perform a Bonus Attack with +1 @Power! If you have the [Knockdown (falling down)|AL0303] Condition card, immediately stand up and gain 1 positive @Evasion token instead",,Left,,+,,
AM0309,Gash,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,"Gain +1 @Danger. Shuffle this card back into the Trauma deck, then resolve the Trauma Draw again",,Right,,-,,
AM0310,Thrown Off-Balance,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,"Exhaust all your exhaustible @Gear. If no @Gear was exhausted by this card, Knockdown",,Down,,-,,
AM0311,Feign Death,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,"You may immediately perform a Bonus Attack! If you have the [Knockdown (falling down)|AL0303] Condition card, immediately stand up instead",,Up,,+,,
AM0312,Feint,Odyssey,Trauma,Cycle I,,Mini American,,"Look, a three-headed goat!",Minor,Place up to 2 Opening and/or Break tokens in the Kratos Pool,,Left,,+,,
AM0313,Marked For Glory,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,"You may gain the @PriorityTarget Priority Target token. If you do, gain 1 positive Precision token. If you already have the @PriorityTarget Priority Target token, gain 1 positive Precision token",,Right,,+,,
AM0314,Battle Cry,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,Another Titan may move up to 2 spaces or stand up,,Down,,+,,
AM0315,Unexpected Help,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,You may immediately place 1 @Energy on any Argo Ability (even above the starting number of charges),,Up,,+,,
AM0316,Glimpse Weak Spot,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,Look at the top card of the BP deck. You may put it back on top of the BP deck or onto the discard pile,,Left,,+,,
AM0317,Fateful Wound,Odyssey,Trauma,Cycle I,,Mini American,,,Minor,"All your Attacks gain: ""*Crit Miss*: Gain +1 @Danger and immediately full miss the Attack.""",Body,Right,,-,,
AM0318,Fear,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Minor,Gain the [Fear|AL0299] Condition card,,,,-,,
AM0319,Maze Emergence,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Minor,Place a L Labyrinth tile under your Titan,,,,-,,
AM0320,Maze Emergence,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Minor,Place a Z Labyrinth tile under your Titan,,,,-,,
AM0321,Seed Of Despair,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Minor,Gain 1 Despair token,,,,-,,
AM0322,Kratos Glimpse,Odyssey,Trauma,Cycle I,,Mini American,,Your fate is beckoning,Major,Gain +2 @Rage,,,1,+,,
AM0323,Marked For Death,Odyssey,Trauma,Cycle I,,Mini American,,,Major,"Gain this card and the @PriorityTarget Priority Target token. While you have this card, you cannot lose this token",Fate,,2,-,,
AM0324,Call To Arms,Odyssey,Trauma,Cycle I,,Mini American,,,Major,Another Titan may move up to 3 spaces or stand up,,,3,+,,
AM0325,Giant Gash,Odyssey,Trauma,Cycle I,,Mini American,,,Major,"Gain +1 @Danger. Shuffle this card back into the Trauma deck, then resolve the Trauma Draw again",,,4,-,,
AM0326,Inner Strength,Odyssey,Trauma,Cycle I,,Mini American,,,Major,Lose -1 @Danger and stand up. You may immediately perform a Bonus Attack!,,,5,+,,
AM0327,Show Of Willpower,Odyssey,Trauma,Cycle I,,Mini American,,,Major,"You may discard 2 Condition tokens, a tokenless Condition card, or an Ambrosia token, or lose -2 @Fate",,,6,+,,
AM0328,Counterattack,Odyssey,Trauma,Cycle I,,Mini American,,,Major,"You may immediately move up to 3 spaces and perform a Bonus Attack! If you have the [Knockdown (falling down)|AL0303] Condition card, immediately stand up instead",,,7,+,,
AM0329,Flood Of Memories,Odyssey,Trauma,Cycle I,,Mini American,,Your past comes rushing,Major,Gain +1 Mnemos node for a chosen Mnemos. Then unexhaust that Mnemos,,,1,+,,
AM0330,Predict Moves,Odyssey,Trauma,Cycle I,,Mini American,,,Major,Look at the top card of the BP or AI deck. You may put it back on top of the corresponding deck or onto the corresponding discard pile,,,2,+,,
AM0331,Dolos Cunning,Odyssey,Trauma,Cycle I,,Mini American,,,Major,Place up to 3 Opening and/or Break tokens in the Kratos Pool,,,3,+,,
AM0332,Heroic Death,Odyssey,Trauma,Cycle I,,Mini American,,,Major,"*First Round Only*: Ignore this card, find and resolve the [Feign Death|AM0311] Minor Trauma card instead. *Any Other Round*: You die, but you won't sell your life cheap! Immediately stand up, move up to 3 spaces, and perform a Bonus Attack! Then, shuffle this card back into the Trauma deck and die. If you have the [Spark of the Dead Gods|AA0051] Technology card, roll a d10. On a '10' you Awaken, @Adversary",,,4,-,,
AM0333,Dread,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Major,Gain the [Dread|AL0299] Condition card,,,,-,,
AM0334,Maze Eruption,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Major,Place an O Labyrinth tile under your Titan and suffer {Knockdown},,,,-,,
AM0335,Maze Eruption,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Major,Place an Z Labyrinth tile under your Titan and suffer {Knockdown},,,,-,,
AM0336,Pall Of Despair,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Major,Gain 2 Despair tokens,,,,-,,
AM0337,Deluge Of Memories,Odyssey,Trauma,Cycle I,,Mini American,,You drown in the flashing images,Grave,Gain +1 Mnemos node for a chosen Mnemos. Then unexhaust that Mnemos or return it to play if it was discard,,,,+,,
AM0338,There Will Be A Reckoning,Odyssey,Trauma,Cycle I,,Mini American,,,Grave,Add the [You died horribly|AM0357] Obol to the Obol deck,,,,-,,
AM0339,Fused Souls,Odyssey,Trauma,Cycle I,,Mini American,,Your soul has temporarily fused with the Titan's. Better not die today,Grave,"If the Titan dies before the end of the Battle, so does the Argonaut. Resolve the _Rude Awakening_ Special Event. If it lives, resolves the _The Other_ Special Event instead",,,,-,,
AM0340,Heroic Life,Odyssey,Trauma,Cycle I,,Mini American,,,Grave,"You will probably die - but until then, you will fight the Primordial with all your being! Immediately stand up, move up to 3 spaces, and perform a Bonus Attack! If you deal a Wound to the Primordial, you live! And you feel a new zest for life! Lose -2 @Danger and -2 @Fate. If you do not deal a Wound, you die. If you have the [Spark of the Dead Gods|AA0051] Technology card, roll a d10. On a '10' you Awaken, @Adversary. Shuffle this card back into the Trauma deck",,,,-,,
"AM0341, AM0342, AM0348",Disemboweled,Odyssey,Trauma,Cycle I,,Mini American,,,Grave,You die. Shuffle this card back into the Trauma Deck,,,,-,,
AM0343,Burning Heart,Odyssey,Trauma,Cycle I,,Mini American,,"Bravely we hope, against all hope..",Grave,Stand up. You may lose -2 @Danger and/or gain +1 @Rage. You may immediately perform a Bonus Attack!,,,,+,,
AM0344,Godly Resolve,Odyssey,Trauma,Cycle I,,Mini American,,Don't stop believing..,Grave,"You may discard all Condition cards, Condition tokens. and Ambrosia tokens or lose -3 @Fate",,,,+,,
AM0345,Push The Limit!,Odyssey,Trauma,Cycle I,,Mini American,,Walk along the razor's edge,Grave,"You may immediately move up to 4 spaces and perform a Bonus Attack with +1 @Power! If you have the [Knockdown (falling down)|AL0303] Condition card, immediately stand up and gain 1 positive @Evasion token instead",,,,+,,
AM0346,Fate Worse Than Death,Odyssey,Trauma,Cycle I,,Mini American,,,Grave,"Gain this card and the @PriorityTarget Priority Target token (even if someone has a [Marked for Death|AM0323] Trauma card). While you have this card, you cannot lose the token. <End of Battle> If your Titan is dead, resolve the _Fate Worse Than Death_ Special Event",Fate,,,-,,
AM0347,See Pattern,Odyssey,Trauma,Cycle I,,Mini American,,,Grave,Look at the top cards of the BP and AI decks You may put each card back on top of its respective deck or onto the respective discard pile. Gain +1 @Progress,,,,+,,
AM0350,Theseus Logic,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Grave,"Until the end of Battle, you may ignore Labyrinth tiles for the purposes of voluntary movement and Attacks",,,,+,,
AM0351,Ariadne's Logic,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Grave,"Until the end of Battle, if you attack from a Labyrinth tile, the Primordial has -1 @AT during that Attack",,,,+,,
AM0352,Mazetouched,Odyssey,Trauma,Cycle I,Cycle I,Mini American,,,Grave,Gain the Mazetouched Affliction,,,,-,,
AM0353,You Live!,Odyssey,Trauma,Cycle I,,Mini American,,"Against all odds, you survive",Obol,,,,,+,,
AM0354,You Died,Odyssey,Trauma,Cycle I,,Mini American,,I have a rendezvous with Death,Obol,,,,,-,,
AM0356,You Live!,Odyssey,Trauma,Cycle I,,Mini American,,By the power of the Dead Gods..,Obol,You may lose -1 @Fate,,,,+,,
AM0357,You Died Horribly,Odyssey,Trauma,Cycle I,,Mini American,,It may be he shall take my hand and lead me into his dark land,Obol,"Roll a d10. On a '10', you Awaken instead, @Adversary! If you die, *End of Battle*: Roll on the _Fate Worse Than Death_ Special Event Table",,,,-,,
AM0358,Your Gruesome Death Becomes Legend,Odyssey,Trauma,Cycle I,,Mini American,,And close my eyes and quench my breath... I have a rendezvous with Death,Obol,"Roll a d10. On a '9-10', you Awaken instead, @Adversary! If you die, *End of Battle*: Your Argonaut dies from Triskelion shock. Resolve the _Rude Awakening_ Special Event",,,,-,,
AM0359,Your Death Transcends Reality,Odyssey,Trauma,Cycle I,,Mini American,,"And I to my pledged word am true, I shall not fail that rendezvous",Obol,See the _Your Death Transcend Reality_ Special Event in the Cycle I Storybook,,,,-,,
BM0678,Hatred,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Minor,Gain the [Hatred|BL0661] Condition card,,Down,,-,,
BM0679,Bloodlust,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Minor,Gain +1 @Rage and +1 @Fate,,Choose,,-,,
BM0680,Bloodlust,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Minor,Gain +1 @Rage and +1 @Fate,,Choose,,-,,
BM0681,Bloodlust,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Minor,Gain +1 @Rage and +1 @Fate,,Choose,,-,,
BM0682,Frenzy,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Major,Gain the [Frenzy|BL0661] Condition card,,,5,-,,
BM0683,Bloodrage,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Major,Gain +2 @Rage and +1 @Fate,,,6,-,,
BM0684,Bloodrage,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Major,Gain +2 @Rage and +1 @Fate,,,7,-,,
BM0685,Disarmed,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Major,Discard 1 Weapon @Gear card,,,8,-,,
BM0686,Bloodmadness,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Grave,Gain +3 @Rage and +1 @Fate,,,,-,,
BM0687,Achilles's Counter,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Grave,"Choose a space adjacent to the Primordial on the Primordial diagram. It becomes a Weakspot (@Weakspot). Until the end of Battle, when attacked from the @Weakspot, the Primordial has -1 @AT.",,,,+,,
BM0688,The Touch,Odyssey,Trauma,Cycle II,Cycle II,Mini American,,,Grave,"Stand up. You may gain +1 @Rage. You may immediately move up to your @Speed and perform a *Bonus Attack!* If you're the last Titan on the Board, repeat once",,,,+,,
CM1299,Muffled,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Minor,Gain the [Muffled|CL1291] Condition card,,Down,,-,,
CM1300,Time-Clocked,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Minor,Reestablish your Time Anchor. Then gain the [Time-clocked|CL1295] Condition card,,Choose,,-,,
CM1301,Moirai Edict,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Minor,Gain +1 @Fate,,Choose,,-,,
CM1302,Fateful Paradox,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Minor,Gain +1 @Paradox,,Choose,,-,,
CM1303,Sealed,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Major,Gain the [Sealed|CL1291] Condition card,,,5,-,,
CM1304,Moirai Verdict,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Major,Gain +2 @Fate,,,6,-,,
CM1305,Moirai Verdict,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Major,Gain +2 @Fate,,,7,-,,
CM1306,Fateful Paradox,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Major,Gain +1 @Paradox,,,8,-,,
CM1307,Moirai Law,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Grave,Gain +3 @Fate,,,,-,,
CM1308,At Death's Door,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Grave,Suffer {Death 1},,,,-,,
CM1309,Break The Wheel,Odyssey,Trauma,Cycle III,Cycle III,Mini American,,,Grave,"Stand up. Roll a d10, adding +X, where X is the number of @Paradox you have. On a 10+, you Awaken, @Adversary",,,,+,,
DM2044,Covetous,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Minor,Gain the [Covetous|DL2007] Condition card,,Down,,-,,
DM2045,Aurified,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Minor,{Midas 1},,Choose,,-,,
DM2046,Wishing for a Wish,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Minor,Gain the [Wishkeen|DL2011] Condition card,,Choose,,-,,
DM2047,Sunward Gust,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Minor,{Float},,Choose,,-,,
DM2560,Greed-Crazed,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Major,Gain the [Greed-crazed|DL2007] Condition card,,,5,-,,
